title,sell_price,orlg_price,rating
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹12,190","₹17,300",4.3
LG 204 L Direct Cool Single Door 5 Star Refrigerator,"₹17,490","₹23,499",5
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,500","₹23,990",
Whirlpool 215 L Direct Cool Single Door 3 Star Refrigerator,"₹17,590","₹19,300",4.3
SAMSUNG 191 L Direct Cool Single Door Inverter Technology Star Convertible Refrigerator with Base Draw...,"₹20,400","₹23,990",4.6
LG 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹15,590","₹20,699",4.3
SAMSUNG 580 L Frost Free French Door Bottom Mount Convertible Refrigerator,"₹74,990","₹90,669",
SAMSUNG 700 L Frost Free Side by Side Refrigerator,"₹81,990","₹89,590",4.4
SAMSUNG 314 l Frost Free Double Door 2 Star Convertible Refrigerator  with with Curd Maestro,"₹33,290","₹42,990",4.3
SAMSUNG 705 L Frost Free French Door Bottom Mount Refrigerator,"₹1,64,990","₹2,14,990",
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,990","₹71,300",4.7
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹44,490","₹71,300",
SAMSUNG 243 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹33,900","₹37,190",4.5
Haier 220 L Direct Cool Single Door 4 Star Refrigerator,"₹16,690","₹25,900",4.3
SAMSUNG 275 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹28,340","₹36,990",4.3
,,,
,,,
Haier 376 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹48,990","₹77,400",
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,479","₹21,199",3.8
SAMSUNG 415 L Frost Free Double Door 2 Star Refrigerator,"₹42,499","₹61,990",4.2
Haier 276 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,990","₹47,600",4.4
